CGPA,TargetCompany,Skills,SkillMatchPct,PlacementProbability,PlacementStatus
6.2,IBM,"Data Science, Git, Jenkins, AI, Python, Cloud, Java, Docker",100.0,23.68,Low Chance
8.0,Netflix,"Git, Tableau, Python, MySQL, Terraform, TensorFlow",20.0,23.91,Low Chance
8.7,Oracle,"Database Design, Vue.js, C++, JavaScript, Spring Boot, SQL, Java, Cloud Architecture",100.0,83.41,High Chance
8.6,IBM,"Vue.js, C++, Data Science, Scikit-Learn, AI, Python, Cloud, Deep Learning, MySQL, TensorFlow",100.0,92.71,High Chance
5.5,Netflix,"TypeScript, AWS, Microservices, Python, Go, Spring Boot, React, Java, Machine Learning",100.0,16.36,Low Chance
7.9,Infosys,"AWS, Web Development, SQL, Java, Communication, GCP",100.0,93.84,High Chance
9.1,Adobe,"UI/UX, C++, Graphics, Tableau, Java",100.0,87.04,High Chance
7.1,Google,"Algorithms, C++, Python, Deep Learning, Machine Learning, Data Analysis",100.0,16.02,Low Chance
6.7,Oracle,"C++, C#, Scikit-Learn, Kubernetes",0.0,31.88,Low Chance
10.0,Google,"Power BI, Git, C#, Swift, React, Terraform",0.0,39.84,Low Chance
7.1,IBM,"Data Science, AI, GitHub, AWS, Python, Cloud, Express, Go, PyTorch, Jira, GCP, TensorFlow",100.0,84.0,High Chance
9.7,Adobe,"JavaScript, AWS, NumPy, PyTorch, Pandas",0.0,30.0,Low Chance
6.8,Google,"Leadership, C#, Node.js, Teamwork, Problem Solving, TensorFlow",0.0,26.22,Low Chance
9.2,Infosys,"AWS, Web Development, PyTorch, SQL, Scrum, Data Analysis, Agile, Java, Node.js, Communication",100.0,99.78,High Chance
6.0,TCS,"C++, Redis, Terraform, Computer Vision",0.0,35.71,Low Chance
6.6,Meta,"Redis, MongoDB, JavaScript, Python, Node.js, Angular, React, Cassandra, Social Media Tech, Machine Learning",100.0,25.23,Low Chance
8.6,TCS,"Git, Deep Learning, Swift, Computer Vision, Cassandra",0.0,43.79,Low Chance
8.5,Netflix,"AWS, Microservices, Python, Java, Machine Learning",100.0,86.07,High Chance
